UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
2892,2020-04-01 00:00:00,2020-07-15 00:00:00,G,Strategy Project,Excel/Critical thinking/,Chicago,No,6-7
2893,2020-03-01 00:00:00,2020-05-15 00:00:00,D,Business Project,Salesforce/Excel/Salesforce/,DC,Yes,4-5
2894,2020-11-01 00:00:00,2020-11-15 00:00:00,E,IT Operations Project,Cloud/ML/Excel/,NYC,No,10-11
2895,2020-02-01 00:00:00,2020-06-15 00:00:00,B,Strategy Project,Critical thinking/Excel/,NYC,No,7-8
2896,2020-04-01 00:00:00,2020-06-15 00:00:00,F,Account Leadership Project,Leadership/,Chicago,No,5-6
2897,2020-03-01 00:00:00,2020-11-15 00:00:00,B,Design Project,PhotoShop/React.js/,NYC,Yes,2-3
2898,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Account Leadership Project,Excel/Cloud/Leadership/,Chicago,No,9-10
2899,2020-05-01 00:00:00,2020-05-15 00:00:00,E,Design Project,PhotoShop/PhotoShop/PowerPoint/,NYC,No,6-7
2900,2020-07-01 00:00:00,2020-10-15 00:00:00,A,Security Project,Oracle/Oracle/Python/,DC,No,4-5
2901,2020-06-01 00:00:00,2020-12-15 00:00:00,H,Engineering Project,Java/,Chicago,Yes,6-7
2902,2020-06-01 00:00:00,2020-11-15 00:00:00,G,Human Resources Project,Workday/Excel/Oral communication/,Chicago,No,2-3
2903,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Human Resources Project,Workday/Workday/,NYC,No,5-6
2904,2020-09-01 00:00:00,2020-11-15 00:00:00,E,Account Leadership Project,Leadership/,Chicago,Yes,1-2
2905,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Account Leadership Project,ML/,DC,No,2-3
2906,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Design Project,React.js/Adobe/,NYC,No,9-10
2907,2020-04-01 00:00:00,2020-08-15 00:00:00,F,Business Project,Salesforce/,Boston,Yes,5-6
2908,2020-01-01 00:00:00,2020-12-15 00:00:00,G,Design Project,React.js/React.js/,Boston,No,5-6
2909,2020-06-01 00:00:00,2020-06-15 00:00:00,G,Finance Project,Excel/Excel/SAP/,NYC,No,3-4
2910,2020-03-01 00:00:00,2020-05-15 00:00:00,F,Security Project,Java/Python/,Chicago,No,9-10
2911,2020-02-01 00:00:00,2020-03-15 00:00:00,D,Security Project,Oracle/,Boston,No,1-2
2912,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Security Project,PowerPoint/Cloud/Python/,DC,No,8-9
2913,2020-09-01 00:00:00,2020-10-15 00:00:00,A,Strategy Project,Critical thinking/Excel/Excel/,Chicago,No,1-2
2914,2020-02-01 00:00:00,2020-05-15 00:00:00,A,Account Leadership Project,Oral communication/Cloud/,Chicago,No,7-8
2915,2020-07-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,Workday/PowerPoint/Excel/,NYC,Yes,5-6
2916,2020-03-01 00:00:00,2020-09-15 00:00:00,B,Design Project,Excel/PowerPoint/Adobe/,Denver,Yes,5-6
2917,2020-06-01 00:00:00,2020-10-15 00:00:00,A,IT Operations Project,Python/ML/,NYC,No,6-7
2918,2020-04-01 00:00:00,2020-08-15 00:00:00,D,IT Operations Project,Oracle/Java/Cloud/,Denver,Yes,4-5
2919,2020-03-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,Oral communication/Cloud/PowerPoint/,Boston,No,3-4
2920,2020-10-01 00:00:00,2020-12-15 00:00:00,E,Legal Project,Oral communication/,NYC,Yes,6-7
2921,2020-01-01 00:00:00,2020-08-15 00:00:00,D,Business Project,Salesforce/Excel/Excel/,NYC,Yes,3-4
2922,2020-04-01 00:00:00,2020-10-15 00:00:00,C,Finance Project,Excel/,DC,No,5-6
2923,2020-09-01 00:00:00,2020-10-15 00:00:00,C,IT Operations Project,Cloud/Python/ML/,Chicago,No,5-6
2924,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Business Project,Salesforce/Excel/Excel/,DC,Yes,10-11
2925,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Design Project,PhotoShop/,Boston,Yes,5-6
2926,2020-03-01 00:00:00,2020-10-15 00:00:00,F,Security Project,Excel/,Boston,No,9-10
2927,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Engineering Project,Python/PowerPoint/,Chicago,No,1-2
2928,2020-04-01 00:00:00,2020-04-15 00:00:00,A,Business Project,Salesforce/Excel/,Chicago,Yes,9-10
2929,2020-06-01 00:00:00,2020-12-15 00:00:00,F,Engineering Project,MATLAB/,DC,No,10-11
2930,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Finance Project,SAP/SAP/,Chicago,Yes,1-2
2931,2020-04-01 00:00:00,2020-08-15 00:00:00,H,Account Leadership Project,Excel/,Denver,No,3-4
2932,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Legal Project,Excel/Oral communication/,Denver,Yes,6-7
2933,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Java/Python/Excel/,Chicago,Yes,1-2
2934,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Strategy Project,Excel/Critical thinking/,DC,No,6-7
2935,2020-01-01 00:00:00,2020-05-15 00:00:00,H,Legal Project,Oral communication/Oral communication/Excel/,Denver,Yes,3-4
2936,2020-08-01 00:00:00,2020-08-15 00:00:00,C,Security Project,PowerPoint/Cloud/,NYC,No,8-9
2937,2020-05-01 00:00:00,2020-09-15 00:00:00,H,IT Operations Project,Oracle/,Chicago,Yes,3-4
2938,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Security Project,Cloud/,NYC,No,2-3
2939,2020-07-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,MATLAB/,Chicago,No,6-7
2940,2020-03-01 00:00:00,2020-10-15 00:00:00,C,Finance Project,PowerPoint/QuickBooks/QuickBooks/,Chicago,Yes,7-8
2941,2020-10-01 00:00:00,2020-12-15 00:00:00,A,Security Project,PowerPoint/Cloud/Oracle/,NYC,No,6-7
2942,2020-03-01 00:00:00,2020-08-15 00:00:00,E,IT Operations Project,Oracle/Excel/,DC,No,1-2
2943,2020-04-01 00:00:00,2020-11-15 00:00:00,A,Design Project,Excel/React.js/PhotoShop/,DC,No,7-8
2944,2020-02-01 00:00:00,2020-06-15 00:00:00,A,Legal Project,PowerPoint/,Chicago,Yes,1-2
2945,2020-01-01 00:00:00,2020-09-15 00:00:00,H,Finance Project,Excel/Excel/,Chicago,Yes,1-2
2946,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,PowerPoint/,NYC,No,2-3
2947,2020-08-01 00:00:00,2020-11-15 00:00:00,A,Account Leadership Project,Excel/,Chicago,Yes,1-2
2948,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Strategy Project,Excel/,DC,No,5-6
2949,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Business Project,Excel/Excel/Excel/,Chicago,No,9-10
2950,2020-09-01 00:00:00,2020-09-15 00:00:00,G,Design Project,PowerPoint/,Chicago,Yes,10-11
2951,2020-01-01 00:00:00,2020-05-15 00:00:00,E,Legal Project,Bar/Oral communication/,Boston,No,4-5
2952,2020-02-01 00:00:00,2020-08-15 00:00:00,A,Engineering Project,PowerPoint/,DC,Yes,4-5
2953,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,PowerPoint/Workday/,NYC,Yes,10-11
2954,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Strategy Project,PowerPoint/,Denver,No,3-4
2955,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Engineering Project,MATLAB/,DC,No,4-5
2956,2020-04-01 00:00:00,2020-06-15 00:00:00,A,Account Leadership Project,Leadership/ML/Oral communication/,DC,Yes,8-9
2957,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Finance Project,SAP/SAP/,NYC,Yes,3-4
2958,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,PowerPoint/,Boston,No,4-5
2959,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Legal Project,Bar/PowerPoint/,DC,Yes,3-4
2960,2020-10-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,Java/Excel/Cloud/,Boston,No,9-10
2961,2020-07-01 00:00:00,2020-11-15 00:00:00,E,Account Leadership Project,Leadership/Leadership/,Denver,Yes,6-7
2962,2020-04-01 00:00:00,2020-11-15 00:00:00,H,Finance Project,Excel/PowerPoint/,DC,No,6-7
2963,2020-12-01 00:00:00,2020-12-15 00:00:00,G,IT Operations Project,Python/Oracle/Excel/,NYC,No,6-7
2964,2020-05-01 00:00:00,2020-06-15 00:00:00,G,Legal Project,PowerPoint/,Denver,Yes,7-8
2965,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Security Project,Java/Cloud/Cloud/,Chicago,No,5-6
2966,2020-04-01 00:00:00,2020-12-15 00:00:00,G,Security Project,PowerPoint/,Denver,No,9-10
2967,2020-10-01 00:00:00,2020-12-15 00:00:00,B,Business Project,Excel/Excel/,Boston,No,8-9
2968,2020-04-01 00:00:00,2020-05-15 00:00:00,H,Strategy Project,Critical thinking/PowerPoint/,NYC,Yes,8-9
2969,2020-07-01 00:00:00,2020-12-15 00:00:00,D,IT Operations Project,Oracle/Java/,Denver,Yes,4-5
2970,2020-01-01 00:00:00,2020-01-15 00:00:00,E,Finance Project,SAP/,NYC,No,4-5
2971,2020-07-01 00:00:00,2020-10-15 00:00:00,D,Design Project,React.js/Adobe/,NYC,No,6-7
2972,2020-10-01 00:00:00,2020-10-15 00:00:00,G,Account Leadership Project,ML/Oral communication/Leadership/,NYC,Yes,3-4
2973,2020-01-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Salesforce/,NYC,Yes,8-9
2974,2020-04-01 00:00:00,2020-04-15 00:00:00,D,Security Project,Python/ML/Python/,Chicago,No,8-9
2975,2020-01-01 00:00:00,2020-10-15 00:00:00,C,IT Operations Project,ML/Python/PowerPoint/,DC,Yes,3-4
2976,2020-01-01 00:00:00,2020-05-15 00:00:00,H,IT Operations Project,Excel/PowerPoint/,Boston,No,9-10
2977,2020-04-01 00:00:00,2020-06-15 00:00:00,F,Account Leadership Project,PowerPoint/ML/Cloud/,Boston,Yes,1-2
2978,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,Critical thinking/,Chicago,No,5-6
2979,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Human Resources Project,PowerPoint/Excel/,Chicago,Yes,7-8
2980,2020-02-01 00:00:00,2020-03-15 00:00:00,G,Strategy Project,Excel/,NYC,No,5-6
2981,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Design Project,PhotoShop/PhotoShop/PhotoShop/,DC,Yes,2-3
2982,2020-03-01 00:00:00,2020-10-15 00:00:00,F,Business Project,Excel/Salesforce/,DC,Yes,10-11
2983,2020-01-01 00:00:00,2020-08-15 00:00:00,G,Business Project,Excel/,Denver,No,6-7
2984,2020-08-01 00:00:00,2020-09-15 00:00:00,C,Design Project,Adobe/PhotoShop/Adobe/,NYC,Yes,9-10
2985,2020-03-01 00:00:00,2020-04-15 00:00:00,F,Business Project,Excel/Salesforce/,Chicago,Yes,8-9
2986,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,Java/Java/PowerPoint/,Denver,Yes,6-7
2987,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Engineering Project,Python/,Denver,No,3-4
2988,2020-04-01 00:00:00,2020-11-15 00:00:00,F,IT Operations Project,Oracle/Java/,DC,Yes,2-3
2989,2020-03-01 00:00:00,2020-05-15 00:00:00,E,Legal Project,Bar/,Boston,Yes,8-9
2990,2020-07-01 00:00:00,2020-07-15 00:00:00,A,Security Project,Python/,Chicago,Yes,7-8
2991,2020-02-01 00:00:00,2020-10-15 00:00:00,C,Legal Project,PowerPoint/,Boston,Yes,8-9
2992,2020-08-01 00:00:00,2020-08-15 00:00:00,D,Business Project,PowerPoint/,DC,No,1-2
2993,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Strategy Project,Critical thinking/Excel/,Boston,No,9-10
2994,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Strategy Project,Critical thinking/,Chicago,Yes,1-2
2995,2020-08-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,PowerPoint/Critical thinking/PowerPoint/,Boston,Yes,2-3
2996,2020-02-01 00:00:00,2020-06-15 00:00:00,B,Security Project,ML/,NYC,No,9-10
2997,2020-01-01 00:00:00,2020-01-15 00:00:00,D,IT Operations Project,Cloud/,NYC,Yes,8-9
2998,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Legal Project,PowerPoint/Bar/Bar/,NYC,No,6-7
2999,2020-05-01 00:00:00,2020-05-15 00:00:00,D,Design Project,React.js/PowerPoint/React.js/,Boston,No,6-7
3000,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Legal Project,PowerPoint/,NYC,Yes,3-4
3001,2020-07-01 00:00:00,2020-09-15 00:00:00,E,Finance Project,QuickBooks/Excel/,Boston,No,1-2
3002,2020-02-01 00:00:00,2020-10-15 00:00:00,C,Strategy Project,Excel/,Chicago,No,6-7
3003,2020-09-01 00:00:00,2020-10-15 00:00:00,H,Design Project,Adobe/Adobe/Adobe/,DC,Yes,3-4
3004,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Design Project,PhotoShop/,DC,No,1-2
3005,2020-02-01 00:00:00,2020-07-15 00:00:00,G,Finance Project,PowerPoint/PowerPoint/,NYC,Yes,2-3
3006,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Security Project,PowerPoint/,DC,Yes,5-6
3007,2020-03-01 00:00:00,2020-12-15 00:00:00,H,Legal Project,Bar/Excel/,Denver,Yes,9-10
3008,2020-03-01 00:00:00,2020-11-15 00:00:00,E,Strategy Project,Critical thinking/Critical thinking/PowerPoint/,Chicago,No,5-6
3009,2020-04-01 00:00:00,2020-04-15 00:00:00,C,Engineering Project,PowerPoint/,Denver,No,9-10
3010,2020-07-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,MATLAB/PowerPoint/PowerPoint/,Boston,No,10-11
3011,2020-03-01 00:00:00,2020-06-15 00:00:00,B,Account Leadership Project,Oral communication/ML/,NYC,No,4-5
3012,2020-04-01 00:00:00,2020-07-15 00:00:00,A,Design Project,Excel/React.js/,DC,No,3-4
3013,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Account Leadership Project,Oral communication/Leadership/,NYC,No,4-5
3014,2020-02-01 00:00:00,2020-05-15 00:00:00,F,IT Operations Project,Java/,Boston,No,7-8
3015,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Legal Project,Excel/Oral communication/,Denver,Yes,1-2
3016,2020-08-01 00:00:00,2020-08-15 00:00:00,A,Account Leadership Project,PowerPoint/PowerPoint/,Denver,Yes,5-6
3017,2020-04-01 00:00:00,2020-07-15 00:00:00,D,Account Leadership Project,Excel/,DC,Yes,2-3
3018,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Human Resources Project,Workday/,Chicago,No,6-7
3019,2020-01-01 00:00:00,2020-10-15 00:00:00,F,Security Project,Excel/Oracle/,Denver,Yes,9-10
3020,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Legal Project,Oral communication/Excel/,NYC,Yes,10-11
3021,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Design Project,React.js/PhotoShop/PhotoShop/,NYC,No,2-3
3022,2020-03-01 00:00:00,2020-12-15 00:00:00,G,Human Resources Project,Excel/Excel/Oral communication/,DC,No,3-4
3023,2020-06-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,Workday/Oral communication/,DC,Yes,1-2
3024,2020-01-01 00:00:00,2020-05-15 00:00:00,A,Engineering Project,Python/Python/,Denver,Yes,5-6
3025,2020-06-01 00:00:00,2020-06-15 00:00:00,G,IT Operations Project,Python/Python/ML/,DC,Yes,6-7
3026,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Legal Project,Bar/,NYC,No,2-3
3027,2020-10-01 00:00:00,2020-10-15 00:00:00,G,Legal Project,Bar/PowerPoint/,NYC,Yes,1-2
3028,2020-02-01 00:00:00,2020-03-15 00:00:00,B,Business Project,PowerPoint/,DC,No,6-7
3029,2020-02-01 00:00:00,2020-10-15 00:00:00,G,Finance Project,Excel/PowerPoint/QuickBooks/,NYC,Yes,1-2
3030,2020-01-01 00:00:00,2020-05-15 00:00:00,C,Design Project,PowerPoint/,Denver,No,3-4
3031,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Design Project,Excel/PowerPoint/,DC,Yes,2-3
3032,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Security Project,Excel/Excel/Oracle/,Denver,Yes,5-6
3033,2020-09-01 00:00:00,2020-11-15 00:00:00,G,Security Project,Java/Python/PowerPoint/,Chicago,Yes,6-7
3034,2020-05-01 00:00:00,2020-10-15 00:00:00,G,Security Project,PowerPoint/,DC,Yes,7-8
3035,2020-05-01 00:00:00,2020-12-15 00:00:00,H,Security Project,ML/Java/ML/,Boston,No,7-8
3036,2020-04-01 00:00:00,2020-09-15 00:00:00,H,Human Resources Project,Oral communication/PowerPoint/,Denver,Yes,5-6
3037,2020-05-01 00:00:00,2020-12-15 00:00:00,G,Security Project,PowerPoint/,Chicago,Yes,4-5
3038,2020-05-01 00:00:00,2020-10-15 00:00:00,G,Finance Project,Excel/SAP/SAP/,Boston,Yes,3-4
3039,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Design Project,Excel/,Denver,No,6-7
3040,2020-07-01 00:00:00,2020-10-15 00:00:00,G,Design Project,PhotoShop/Excel/Excel/,Denver,No,6-7
3041,2020-07-01 00:00:00,2020-12-15 00:00:00,A,IT Operations Project,Python/PowerPoint/Oracle/,DC,No,3-4
3042,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Account Leadership Project,PowerPoint/,Boston,Yes,2-3
3043,2020-01-01 00:00:00,2020-05-15 00:00:00,C,Engineering Project,Java/PowerPoint/MATLAB/,Chicago,Yes,6-7
3044,2020-01-01 00:00:00,2020-11-15 00:00:00,D,Finance Project,QuickBooks/,NYC,No,1-2
3045,2020-09-01 00:00:00,2020-12-15 00:00:00,A,IT Operations Project,PowerPoint/,Boston,No,1-2
3046,2020-03-01 00:00:00,2020-07-15 00:00:00,H,Business Project,PowerPoint/,DC,Yes,7-8
3047,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Engineering Project,Python/Java/,DC,No,3-4
3048,2020-04-01 00:00:00,2020-08-15 00:00:00,C,Account Leadership Project,ML/,Denver,No,4-5
3049,2020-03-01 00:00:00,2020-11-15 00:00:00,G,Human Resources Project,Excel/Oral communication/,NYC,No,10-11
3050,2020-06-01 00:00:00,2020-07-15 00:00:00,G,Finance Project,QuickBooks/PowerPoint/QuickBooks/,Chicago,No,9-10
3051,2020-05-01 00:00:00,2020-07-15 00:00:00,B,Strategy Project,Critical thinking/PowerPoint/,Chicago,No,1-2
3052,2020-09-01 00:00:00,2020-11-15 00:00:00,H,Finance Project,QuickBooks/QuickBooks/,Boston,Yes,4-5
3053,2020-06-01 00:00:00,2020-07-15 00:00:00,D,Legal Project,PowerPoint/Oral communication/Oral communication/,DC,Yes,6-7
3054,2020-03-01 00:00:00,2020-04-15 00:00:00,C,Human Resources Project,Oral communication/,Chicago,No,3-4
3055,2020-04-01 00:00:00,2020-07-15 00:00:00,A,Business Project,PowerPoint/PowerPoint/,NYC,No,4-5
3056,2020-07-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,Cloud/,DC,No,6-7
3057,2020-03-01 00:00:00,2020-09-15 00:00:00,G,Finance Project,SAP/Excel/QuickBooks/,Chicago,Yes,10-11
3058,2020-04-01 00:00:00,2020-05-15 00:00:00,B,Legal Project,Bar/Oral communication/Excel/,Boston,No,2-3
3059,2020-09-01 00:00:00,2020-11-15 00:00:00,H,Design Project,PhotoShop/PowerPoint/Adobe/,Denver,No,5-6
3060,2020-04-01 00:00:00,2020-11-15 00:00:00,H,Business Project,Salesforce/PowerPoint/,Denver,Yes,7-8
3061,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Engineering Project,Java/PowerPoint/,Boston,Yes,3-4
3062,2020-03-01 00:00:00,2020-09-15 00:00:00,G,Strategy Project,Excel/PowerPoint/PowerPoint/,DC,No,4-5
3063,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Security Project,PowerPoint/PowerPoint/Java/,NYC,No,2-3
3064,2020-07-01 00:00:00,2020-10-15 00:00:00,C,Design Project,PowerPoint/React.js/,Chicago,Yes,4-5
3065,2020-07-01 00:00:00,2020-09-15 00:00:00,G,Legal Project,Excel/Oral communication/Oral communication/,NYC,Yes,1-2
3066,2020-07-01 00:00:00,2020-07-15 00:00:00,E,IT Operations Project,Oracle/,NYC,Yes,5-6
3067,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Business Project,Salesforce/PowerPoint/,NYC,No,2-3
3068,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Engineering Project,Python/Java/,Chicago,Yes,6-7
3069,2020-01-01 00:00:00,2020-10-15 00:00:00,C,Business Project,PowerPoint/,Boston,Yes,5-6
3070,2020-03-01 00:00:00,2020-04-15 00:00:00,A,Human Resources Project,Excel/Workday/,Boston,Yes,8-9
3071,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,Excel/ML/Oral communication/,NYC,No,8-9
3072,2020-09-01 00:00:00,2020-12-15 00:00:00,G,IT Operations Project,Java/PowerPoint/,DC,Yes,1-2
3073,2020-06-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Java/MATLAB/MATLAB/,Denver,No,7-8
3074,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Design Project,Adobe/Adobe/PowerPoint/,Boston,No,10-11
3075,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Engineering Project,PowerPoint/MATLAB/MATLAB/,Boston,Yes,9-10
3076,2020-02-01 00:00:00,2020-09-15 00:00:00,G,IT Operations Project,Java/,DC,Yes,8-9
3077,2020-08-01 00:00:00,2020-08-15 00:00:00,D,Engineering Project,Excel/PowerPoint/MATLAB/,Denver,No,3-4
3078,2020-06-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,Excel/,Denver,No,1-2
3079,2020-01-01 00:00:00,2020-11-15 00:00:00,A,Engineering Project,PowerPoint/PowerPoint/,Boston,No,8-9
3080,2020-07-01 00:00:00,2020-10-15 00:00:00,E,Strategy Project,Excel/,Boston,No,3-4
3081,2020-04-01 00:00:00,2020-05-15 00:00:00,B,Legal Project,Bar/Excel/,DC,Yes,10-11
3082,2020-08-01 00:00:00,2020-10-15 00:00:00,A,Legal Project,Bar/,NYC,No,7-8
3083,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,Oral communication/Excel/,Denver,Yes,6-7
3084,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Design Project,Excel/PhotoShop/,NYC,No,8-9
3085,2020-03-01 00:00:00,2020-11-15 00:00:00,B,Engineering Project,Java/,Boston,Yes,10-11
3086,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Business Project,Salesforce/,Denver,Yes,10-11
3087,2020-02-01 00:00:00,2020-08-15 00:00:00,G,Engineering Project,Python/,Denver,Yes,2-3
3088,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Finance Project,SAP/PowerPoint/,NYC,Yes,2-3
3089,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,Leadership/,NYC,Yes,1-2
3090,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Legal Project,PowerPoint/Excel/Oral communication/,Denver,No,10-11
3091,2020-09-01 00:00:00,2020-12-15 00:00:00,D,Business Project,Salesforce/,Denver,No,2-3
3092,2020-07-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,Excel/Java/,Boston,Yes,2-3
3093,2020-05-01 00:00:00,2020-06-15 00:00:00,G,Account Leadership Project,PowerPoint/,Boston,No,7-8
3094,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Business Project,PowerPoint/,NYC,Yes,4-5
3095,2020-03-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,Excel/QuickBooks/,NYC,No,3-4
3096,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,Excel/Excel/,Denver,No,9-10
3097,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Design Project,React.js/Excel/,DC,Yes,7-8
3098,2020-02-01 00:00:00,2020-05-15 00:00:00,G,Engineering Project,Java/Excel/,Boston,No,8-9
3099,2020-08-01 00:00:00,2020-09-15 00:00:00,F,Security Project,Cloud/,Denver,No,2-3
3100,2020-07-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Python/,Boston,No,4-5
3101,2020-07-01 00:00:00,2020-11-15 00:00:00,G,Human Resources Project,PowerPoint/Workday/,Denver,No,5-6
3102,2020-04-01 00:00:00,2020-04-15 00:00:00,B,Design Project,Excel/PhotoShop/,DC,Yes,9-10
3103,2020-09-01 00:00:00,2020-09-15 00:00:00,H,IT Operations Project,Cloud/,Denver,Yes,10-11
3104,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Legal Project,Excel/Bar/,Boston,Yes,6-7
3105,2020-03-01 00:00:00,2020-08-15 00:00:00,F,Human Resources Project,Oral communication/Oral communication/,DC,Yes,6-7
3106,2020-02-01 00:00:00,2020-09-15 00:00:00,A,Legal Project,Excel/Oral communication/Excel/,NYC,No,6-7
3107,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Strategy Project,Excel/PowerPoint/,Boston,Yes,9-10
3108,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Legal Project,Excel/Oral communication/,Chicago,Yes,1-2
3109,2020-10-01 00:00:00,2020-11-15 00:00:00,A,IT Operations Project,PowerPoint/,Denver,No,2-3
3110,2020-02-01 00:00:00,2020-07-15 00:00:00,A,Human Resources Project,Workday/Oral communication/Excel/,Chicago,No,1-2
3111,2020-02-01 00:00:00,2020-10-15 00:00:00,A,Business Project,PowerPoint/Salesforce/Excel/,NYC,Yes,9-10
3112,2020-03-01 00:00:00,2020-04-15 00:00:00,F,Account Leadership Project,PowerPoint/Cloud/PowerPoint/,DC,No,6-7
3113,2020-07-01 00:00:00,2020-12-15 00:00:00,A,Business Project,PowerPoint/Salesforce/PowerPoint/,Denver,Yes,6-7
3114,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Security Project,Excel/,Boston,No,10-11
3115,2020-03-01 00:00:00,2020-10-15 00:00:00,D,Legal Project,Excel/,Chicago,No,2-3
3116,2020-07-01 00:00:00,2020-08-15 00:00:00,A,Engineering Project,Java/PowerPoint/PowerPoint/,Denver,Yes,5-6
3117,2020-10-01 00:00:00,2020-12-15 00:00:00,D,Business Project,Excel/PowerPoint/PowerPoint/,Chicago,Yes,6-7
3118,2020-08-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Oral communication/Excel/Oral communication/,Denver,No,1-2
3119,2020-12-01 00:00:00,2020-12-15 00:00:00,F,IT Operations Project,Python/,DC,No,7-8
3120,2020-04-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,Workday/,NYC,Yes,7-8
3121,2020-07-01 00:00:00,2020-08-15 00:00:00,G,Engineering Project,Java/Java/Excel/,Boston,No,10-11
3122,2020-02-01 00:00:00,2020-09-15 00:00:00,E,Security Project,Oracle/Excel/,Boston,Yes,3-4
3123,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,QuickBooks/,DC,No,5-6
3124,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Account Leadership Project,PowerPoint/Excel/,Boston,No,5-6
3125,2020-08-01 00:00:00,2020-10-15 00:00:00,F,IT Operations Project,PowerPoint/,Boston,Yes,3-4
