Project UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level,Service
8920,2020-02-01 00:00:00,2020-12-15 00:00:00,B,Legal Project,Oral communication/Oral communication/Excel/,Boston,No,6-7,Strategy & Consulting
8921,2020-02-01 00:00:00,2020-06-15 00:00:00,B,Account Leadership Project,Excel/Cloud/Excel/,Denver,No,8-9,Interactive
8922,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Design Project,Adobe/,NYC,No,7-8,Strategy & Consulting
8923,2020-10-01 00:00:00,2020-11-15 00:00:00,B,IT Operations Project,Oracle/,Boston,No,1-2,Strategy & Consulting
8924,2020-03-01 00:00:00,2020-05-15 00:00:00,B,Security Project,Excel/Oracle/Python/,Denver,No,10-11,Technology
8925,2020-08-01 00:00:00,2020-12-15 00:00:00,F,Finance Project,Excel/QuickBooks/,Chicago,Yes,3-4,Technology
8926,2020-08-01 00:00:00,2020-12-15 00:00:00,H,Legal Project,Excel/Bar/Bar/,DC,No,8-9,Operations
8927,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Legal Project,PowerPoint/Bar/,DC,Yes,2-3,Technology
8928,2020-07-01 00:00:00,2020-10-15 00:00:00,H,Design Project,PhotoShop/PowerPoint/React.js/,NYC,No,4-5,Interactive
8929,2020-01-01 00:00:00,2020-10-15 00:00:00,E,IT Operations Project,Oracle/,NYC,Yes,2-3,Technology
8930,2020-01-01 00:00:00,2020-06-15 00:00:00,F,Design Project,Excel/React.js/Excel/,NYC,Yes,5-6,Strategy & Consulting
8931,2020-01-01 00:00:00,2020-04-15 00:00:00,H,Finance Project,Excel/PowerPoint/,Denver,No,1-2,Strategy & Consulting
8932,2020-08-01 00:00:00,2020-08-15 00:00:00,D,Design Project,Excel/,Boston,Yes,10-11,Operations
8933,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Finance Project,QuickBooks/,Denver,Yes,2-3,Strategy & Consulting
8934,2020-01-01 00:00:00,2020-07-15 00:00:00,D,Business Project,PowerPoint/,DC,Yes,10-11,Technology
8935,2020-05-01 00:00:00,2020-07-15 00:00:00,C,Security Project,ML/PowerPoint/PowerPoint/,NYC,Yes,7-8,Strategy & Consulting
8936,2020-06-01 00:00:00,2020-06-15 00:00:00,A,IT Operations Project,Cloud/Oracle/,Chicago,Yes,4-5,Operations
8937,2020-09-01 00:00:00,2020-10-15 00:00:00,B,IT Operations Project,Java/,Chicago,Yes,9-10,Interactive
8938,2020-01-01 00:00:00,2020-02-15 00:00:00,A,Strategy Project,Excel/Excel/,Denver,No,4-5,Technology
8939,2020-10-01 00:00:00,2020-12-15 00:00:00,F,Security Project,PowerPoint/,NYC,No,1-2,Interactive
8940,2020-08-01 00:00:00,2020-11-15 00:00:00,D,Finance Project,PowerPoint/SAP/,Denver,Yes,2-3,Operations
8941,2020-01-01 00:00:00,2020-06-15 00:00:00,C,IT Operations Project,Excel/Java/,Chicago,No,5-6,Interactive
8942,2020-03-01 00:00:00,2020-12-15 00:00:00,F,Account Leadership Project,Oral communication/Oral communication/Cloud/,Chicago,Yes,7-8,Strategy & Consulting
8943,2020-12-01 00:00:00,2020-12-15 00:00:00,C,IT Operations Project,Excel/PowerPoint/,NYC,Yes,2-3,Strategy & Consulting
8944,2020-07-01 00:00:00,2020-12-15 00:00:00,H,Security Project,Excel/,Boston,Yes,4-5,Operations
8945,2020-10-01 00:00:00,2020-12-15 00:00:00,G,IT Operations Project,Excel/Python/,NYC,No,1-2,Interactive
8946,2020-10-01 00:00:00,2020-10-15 00:00:00,A,Security Project,Java/PowerPoint/Oracle/,Chicago,No,2-3,Technology
8947,2020-07-01 00:00:00,2020-11-15 00:00:00,D,IT Operations Project,Java/Python/,Boston,No,3-4,Operations
8948,2020-05-01 00:00:00,2020-10-15 00:00:00,D,Finance Project,QuickBooks/,Boston,No,3-4,Strategy & Consulting
8949,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Legal Project,Bar/PowerPoint/,Chicago,Yes,8-9,Interactive
8950,2020-01-01 00:00:00,2020-07-15 00:00:00,G,Finance Project,QuickBooks/QuickBooks/,Boston,Yes,9-10,Operations
8951,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Legal Project,Excel/Bar/Oral communication/,Denver,No,8-9,Strategy & Consulting
8952,2020-04-01 00:00:00,2020-06-15 00:00:00,A,Account Leadership Project,ML/Leadership/,Denver,Yes,3-4,Strategy & Consulting
8953,2020-08-01 00:00:00,2020-09-15 00:00:00,B,Strategy Project,Critical thinking/PowerPoint/Excel/,DC,No,4-5,Strategy & Consulting
8954,2020-06-01 00:00:00,2020-08-15 00:00:00,A,Design Project,PowerPoint/Adobe/,Boston,No,8-9,Interactive
8955,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Security Project,Excel/,Chicago,Yes,10-11,Operations
8956,2020-03-01 00:00:00,2020-09-15 00:00:00,A,IT Operations Project,Python/,NYC,No,9-10,Strategy & Consulting
8957,2020-04-01 00:00:00,2020-06-15 00:00:00,E,IT Operations Project,Excel/,DC,No,6-7,Technology
8958,2020-04-01 00:00:00,2020-10-15 00:00:00,B,Legal Project,PowerPoint/,Chicago,No,3-4,Interactive
8959,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Design Project,PhotoShop/,DC,Yes,6-7,Interactive
8960,2020-07-01 00:00:00,2020-07-15 00:00:00,B,Business Project,PowerPoint/Salesforce/,Chicago,Yes,10-11,Strategy & Consulting
8961,2020-08-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Leadership/ML/Leadership/,Denver,No,5-6,Interactive
8962,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,QuickBooks/Excel/,DC,No,5-6,Strategy & Consulting
8963,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Engineering Project,Python/Java/Python/,Chicago,Yes,5-6,Strategy & Consulting
8964,2020-02-01 00:00:00,2020-05-15 00:00:00,E,Legal Project,Bar/Oral communication/Oral communication/,NYC,No,9-10,Strategy & Consulting
8965,2020-04-01 00:00:00,2020-06-15 00:00:00,B,Strategy Project,Excel/PowerPoint/,Chicago,Yes,10-11,Operations
8966,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Strategy Project,Excel/Critical thinking/,Boston,No,6-7,Operations
8967,2020-03-01 00:00:00,2020-10-15 00:00:00,B,Business Project,Excel/Excel/,NYC,Yes,8-9,Strategy & Consulting
8968,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Strategy Project,Excel/,Chicago,No,2-3,Technology
8969,2020-05-01 00:00:00,2020-12-15 00:00:00,A,Legal Project,Oral communication/Excel/,Denver,Yes,2-3,Operations
8970,2020-10-01 00:00:00,2020-12-15 00:00:00,D,Business Project,Salesforce/Salesforce/PowerPoint/,Chicago,No,1-2,Technology
8971,2020-05-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,Excel/,Denver,Yes,1-2,Interactive
8972,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Security Project,PowerPoint/,Boston,No,1-2,Interactive
8973,2020-10-01 00:00:00,2020-11-15 00:00:00,G,Account Leadership Project,Leadership/,Denver,No,10-11,Technology
8974,2020-04-01 00:00:00,2020-04-15 00:00:00,H,Strategy Project,Critical thinking/,Chicago,No,5-6,Interactive
8975,2020-06-01 00:00:00,2020-12-15 00:00:00,G,Design Project,Excel/,Chicago,Yes,6-7,Operations
8976,2020-08-01 00:00:00,2020-11-15 00:00:00,F,Strategy Project,Excel/Critical thinking/,Denver,No,8-9,Strategy & Consulting
8977,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Strategy Project,Excel/Excel/,Chicago,Yes,4-5,Technology
8978,2020-10-01 00:00:00,2020-11-15 00:00:00,E,Strategy Project,Excel/Excel/Excel/,Boston,No,9-10,Interactive
8979,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,Python/Python/PowerPoint/,Denver,Yes,1-2,Strategy & Consulting
8980,2020-07-01 00:00:00,2020-08-15 00:00:00,D,Legal Project,Oral communication/Excel/,Chicago,No,5-6,Operations
8981,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Legal Project,PowerPoint/,Chicago,Yes,9-10,Operations
8982,2020-02-01 00:00:00,2020-11-15 00:00:00,F,Design Project,PhotoShop/,Chicago,Yes,1-2,Strategy & Consulting
8983,2020-05-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,Excel/,DC,Yes,2-3,Interactive
8984,2020-06-01 00:00:00,2020-07-15 00:00:00,D,Finance Project,Excel/,NYC,Yes,3-4,Strategy & Consulting
8985,2020-06-01 00:00:00,2020-12-15 00:00:00,F,Legal Project,Excel/,DC,Yes,3-4,Technology
8986,2020-06-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,Oracle/Cloud/,DC,No,3-4,Strategy & Consulting
8987,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Finance Project,QuickBooks/QuickBooks/,NYC,Yes,7-8,Strategy & Consulting
8988,2020-01-01 00:00:00,2020-10-15 00:00:00,A,Strategy Project,Excel/Excel/PowerPoint/,NYC,No,6-7,Technology
8989,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Leadership/PowerPoint/,Chicago,Yes,2-3,Strategy & Consulting
8990,2020-05-01 00:00:00,2020-12-15 00:00:00,E,IT Operations Project,ML/Oracle/,DC,Yes,4-5,Interactive
8991,2020-09-01 00:00:00,2020-10-15 00:00:00,A,Account Leadership Project,Cloud/,Boston,Yes,4-5,Interactive
8992,2020-08-01 00:00:00,2020-09-15 00:00:00,C,Human Resources Project,Oral communication/Excel/Excel/,Boston,Yes,10-11,Operations
8993,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Finance Project,SAP/SAP/,Denver,Yes,8-9,Operations
8994,2020-02-01 00:00:00,2020-03-15 00:00:00,C,Strategy Project,Critical thinking/,DC,Yes,4-5,Operations
8995,2020-08-01 00:00:00,2020-10-15 00:00:00,H,Business Project,PowerPoint/,DC,No,1-2,Interactive
8996,2020-09-01 00:00:00,2020-09-15 00:00:00,G,Security Project,Python/,NYC,Yes,5-6,Interactive
8997,2020-09-01 00:00:00,2020-10-15 00:00:00,H,Engineering Project,MATLAB/Python/,Boston,No,9-10,Interactive
8998,2020-01-01 00:00:00,2020-02-15 00:00:00,C,Business Project,PowerPoint/,Chicago,No,10-11,Operations
8999,2020-01-01 00:00:00,2020-05-15 00:00:00,G,Business Project,Salesforce/PowerPoint/,Denver,No,4-5,Operations
9000,2020-08-01 00:00:00,2020-09-15 00:00:00,E,Human Resources Project,Excel/PowerPoint/Excel/,Chicago,Yes,4-5,Technology
9001,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Strategy Project,Excel/PowerPoint/Excel/,NYC,Yes,8-9,Operations
9002,2020-10-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Java/PowerPoint/,Denver,Yes,8-9,Interactive
9003,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,Java/Java/,NYC,No,10-11,Operations
9004,2020-02-01 00:00:00,2020-07-15 00:00:00,A,Strategy Project,Excel/Critical thinking/PowerPoint/,Chicago,No,6-7,Operations
9005,2020-05-01 00:00:00,2020-05-15 00:00:00,B,Human Resources Project,Workday/Workday/,NYC,Yes,5-6,Interactive
9006,2020-11-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,Oracle/,Denver,Yes,10-11,Operations
9007,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Strategy Project,Critical thinking/Excel/,Chicago,No,6-7,Technology
9008,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Design Project,Adobe/,Chicago,Yes,10-11,Operations
9009,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Legal Project,Bar/PowerPoint/,Chicago,No,5-6,Interactive
9010,2020-06-01 00:00:00,2020-09-15 00:00:00,D,Security Project,PowerPoint/,Chicago,Yes,5-6,Interactive
9011,2020-10-01 00:00:00,2020-12-15 00:00:00,F,IT Operations Project,Python/,Boston,No,9-10,Interactive
9012,2020-08-01 00:00:00,2020-09-15 00:00:00,H,Human Resources Project,Workday/PowerPoint/,Boston,No,1-2,Interactive
9013,2020-05-01 00:00:00,2020-09-15 00:00:00,F,Human Resources Project,Workday/,Boston,Yes,1-2,Strategy & Consulting
9014,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Finance Project,Excel/,NYC,No,8-9,Strategy & Consulting
9015,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Account Leadership Project,Excel/,NYC,Yes,3-4,Operations
9016,2020-05-01 00:00:00,2020-11-15 00:00:00,E,Human Resources Project,Oral communication/Workday/PowerPoint/,Boston,Yes,8-9,Interactive
9017,2020-03-01 00:00:00,2020-09-15 00:00:00,H,Security Project,PowerPoint/Python/,Denver,Yes,1-2,Operations
9018,2020-01-01 00:00:00,2020-09-15 00:00:00,A,Legal Project,PowerPoint/Excel/,Boston,No,8-9,Technology
9019,2020-04-01 00:00:00,2020-12-15 00:00:00,B,Finance Project,Excel/,DC,No,3-4,Operations
9020,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Strategy Project,Critical thinking/,Boston,Yes,4-5,Operations
9021,2020-06-01 00:00:00,2020-08-15 00:00:00,B,Finance Project,Excel/,Denver,Yes,3-4,Interactive
9022,2020-04-01 00:00:00,2020-08-15 00:00:00,H,Business Project,Excel/,Boston,No,6-7,Operations
9023,2020-03-01 00:00:00,2020-10-15 00:00:00,H,Finance Project,PowerPoint/QuickBooks/,Denver,No,10-11,Technology
9024,2020-01-01 00:00:00,2020-03-15 00:00:00,D,Legal Project,PowerPoint/PowerPoint/Bar/,DC,No,9-10,Strategy & Consulting
9025,2020-06-01 00:00:00,2020-08-15 00:00:00,H,Human Resources Project,Excel/Workday/,NYC,Yes,2-3,Interactive
9026,2020-04-01 00:00:00,2020-05-15 00:00:00,H,Design Project,Adobe/React.js/Excel/,Boston,No,5-6,Technology
9027,2020-08-01 00:00:00,2020-08-15 00:00:00,A,Legal Project,Excel/Excel/,Denver,No,7-8,Operations
9028,2020-04-01 00:00:00,2020-08-15 00:00:00,G,Account Leadership Project,PowerPoint/,Boston,Yes,4-5,Interactive
9029,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Design Project,React.js/PowerPoint/PowerPoint/,Chicago,No,1-2,Interactive
9030,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Strategy Project,Critical thinking/Critical thinking/,Chicago,No,5-6,Interactive
9031,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Business Project,Salesforce/,NYC,Yes,10-11,Technology
9032,2020-07-01 00:00:00,2020-10-15 00:00:00,A,Business Project,Excel/Excel/Excel/,NYC,No,8-9,Interactive
9033,2020-04-01 00:00:00,2020-07-15 00:00:00,G,IT Operations Project,Python/,NYC,No,9-10,Technology
9034,2020-05-01 00:00:00,2020-09-15 00:00:00,F,Design Project,PowerPoint/PhotoShop/React.js/,Chicago,No,6-7,Technology
9035,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Design Project,PowerPoint/,NYC,Yes,2-3,Interactive
9036,2020-06-01 00:00:00,2020-12-15 00:00:00,H,Human Resources Project,Workday/PowerPoint/Workday/,Chicago,No,6-7,Technology
9037,2020-06-01 00:00:00,2020-09-15 00:00:00,H,Human Resources Project,PowerPoint/Workday/,Chicago,Yes,1-2,Technology
9038,2020-08-01 00:00:00,2020-09-15 00:00:00,E,Account Leadership Project,PowerPoint/Oral communication/Leadership/,Boston,No,1-2,Operations
9039,2020-10-01 00:00:00,2020-10-15 00:00:00,C,Human Resources Project,Excel/Workday/Oral communication/,DC,Yes,4-5,Strategy & Consulting
9040,2020-04-01 00:00:00,2020-04-15 00:00:00,D,Account Leadership Project,Cloud/Oral communication/Oral communication/,DC,Yes,4-5,Interactive
9041,2020-08-01 00:00:00,2020-08-15 00:00:00,D,Finance Project,SAP/QuickBooks/,Chicago,No,1-2,Interactive
9042,2020-05-01 00:00:00,2020-05-15 00:00:00,A,Design Project,PowerPoint/Adobe/React.js/,NYC,Yes,6-7,Strategy & Consulting
9043,2020-06-01 00:00:00,2020-07-15 00:00:00,A,Business Project,PowerPoint/Salesforce/PowerPoint/,Boston,No,4-5,Operations
9044,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,PowerPoint/,Chicago,No,5-6,Strategy & Consulting
9045,2020-04-01 00:00:00,2020-11-15 00:00:00,F,Business Project,Salesforce/Excel/Excel/,Denver,Yes,4-5,Operations
9046,2020-01-01 00:00:00,2020-01-15 00:00:00,A,Human Resources Project,Oral communication/PowerPoint/Workday/,Boston,No,5-6,Strategy & Consulting
9047,2020-04-01 00:00:00,2020-07-15 00:00:00,F,Legal Project,Excel/Oral communication/PowerPoint/,Denver,Yes,9-10,Strategy & Consulting
9048,2020-06-01 00:00:00,2020-12-15 00:00:00,H,IT Operations Project,Java/,Chicago,Yes,8-9,Interactive
9049,2020-06-01 00:00:00,2020-12-15 00:00:00,C,Business Project,PowerPoint/,Boston,Yes,6-7,Interactive
9050,2020-05-01 00:00:00,2020-10-15 00:00:00,G,Engineering Project,PowerPoint/,DC,No,8-9,Interactive
9051,2020-08-01 00:00:00,2020-11-15 00:00:00,D,Legal Project,Oral communication/,DC,No,1-2,Operations
9052,2020-02-01 00:00:00,2020-06-15 00:00:00,H,Legal Project,PowerPoint/PowerPoint/Excel/,Boston,Yes,3-4,Strategy & Consulting
9053,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Engineering Project,PowerPoint/Excel/,Denver,No,3-4,Operations
9054,2020-09-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Excel/Excel/,DC,No,6-7,Technology
9055,2020-02-01 00:00:00,2020-10-15 00:00:00,C,Account Leadership Project,PowerPoint/,Boston,Yes,4-5,Interactive
9056,2020-01-01 00:00:00,2020-07-15 00:00:00,D,Security Project,Oracle/,Chicago,Yes,6-7,Strategy & Consulting
9057,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Finance Project,Excel/SAP/,Denver,No,10-11,Strategy & Consulting
9058,2020-08-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Excel/Bar/,Chicago,No,7-8,Strategy & Consulting
9059,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Account Leadership Project,Leadership/,Boston,Yes,3-4,Operations
9060,2020-03-01 00:00:00,2020-09-15 00:00:00,C,IT Operations Project,PowerPoint/Oracle/,DC,No,3-4,Strategy & Consulting
9061,2020-07-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,Java/Excel/MATLAB/,DC,No,1-2,Operations
9062,2020-05-01 00:00:00,2020-09-15 00:00:00,H,Legal Project,Bar/Oral communication/Bar/,Chicago,Yes,7-8,Interactive
9063,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Legal Project,PowerPoint/PowerPoint/Excel/,Chicago,Yes,4-5,Operations
9064,2020-06-01 00:00:00,2020-06-15 00:00:00,E,Human Resources Project,Workday/Oral communication/,DC,Yes,10-11,Interactive
9065,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Security Project,ML/Cloud/,DC,Yes,7-8,Interactive
9066,2020-03-01 00:00:00,2020-10-15 00:00:00,A,Legal Project,PowerPoint/,Boston,No,10-11,Strategy & Consulting
9067,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,PowerPoint/QuickBooks/SAP/,DC,Yes,6-7,Technology
9068,2020-01-01 00:00:00,2020-01-15 00:00:00,D,Engineering Project,PowerPoint/Excel/MATLAB/,Boston,Yes,8-9,Operations
9069,2020-08-01 00:00:00,2020-09-15 00:00:00,C,Account Leadership Project,ML/Cloud/,Boston,No,3-4,Strategy & Consulting
9070,2020-07-01 00:00:00,2020-10-15 00:00:00,G,Legal Project,Excel/,Chicago,Yes,2-3,Strategy & Consulting
9071,2020-10-01 00:00:00,2020-12-15 00:00:00,H,IT Operations Project,ML/Oracle/,Denver,No,1-2,Interactive
9072,2020-07-01 00:00:00,2020-09-15 00:00:00,C,Security Project,Excel/Cloud/,DC,No,2-3,Strategy & Consulting
9073,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Business Project,Salesforce/,Chicago,Yes,1-2,Strategy & Consulting
9074,2020-07-01 00:00:00,2020-09-15 00:00:00,C,Account Leadership Project,Leadership/Leadership/Excel/,NYC,No,1-2,Strategy & Consulting
9075,2020-10-01 00:00:00,2020-12-15 00:00:00,F,Engineering Project,MATLAB/PowerPoint/,DC,No,9-10,Interactive
9076,2020-06-01 00:00:00,2020-10-15 00:00:00,H,Engineering Project,Python/PowerPoint/,Boston,No,9-10,Interactive
9077,2020-09-01 00:00:00,2020-11-15 00:00:00,G,Design Project,React.js/,NYC,No,6-7,Technology
9078,2020-09-01 00:00:00,2020-11-15 00:00:00,H,IT Operations Project,PowerPoint/Oracle/,Boston,No,1-2,Strategy & Consulting
9079,2020-02-01 00:00:00,2020-09-15 00:00:00,C,Human Resources Project,Oral communication/Workday/,NYC,No,10-11,Operations
9080,2020-03-01 00:00:00,2020-12-15 00:00:00,C,Human Resources Project,Workday/Excel/Oral communication/,DC,No,8-9,Operations
9081,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Finance Project,Excel/PowerPoint/QuickBooks/,Boston,No,6-7,Technology
9082,2020-05-01 00:00:00,2020-07-15 00:00:00,D,Design Project,PowerPoint/,NYC,Yes,9-10,Strategy & Consulting
9083,2020-09-01 00:00:00,2020-09-15 00:00:00,A,Account Leadership Project,Oral communication/PowerPoint/ML/,Denver,No,2-3,Operations
9084,2020-08-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,PowerPoint/PowerPoint/,Boston,Yes,2-3,Operations
9085,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Bar/Bar/PowerPoint/,Chicago,No,3-4,Strategy & Consulting
9086,2020-04-01 00:00:00,2020-06-15 00:00:00,G,Engineering Project,MATLAB/,DC,No,1-2,Technology
9087,2020-10-01 00:00:00,2020-10-15 00:00:00,E,Finance Project,Excel/SAP/PowerPoint/,Chicago,Yes,8-9,Operations
9088,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Design Project,Adobe/React.js/PowerPoint/,NYC,No,4-5,Operations
9089,2020-03-01 00:00:00,2020-10-15 00:00:00,B,Account Leadership Project,Cloud/ML/,Denver,No,4-5,Technology
9090,2020-04-01 00:00:00,2020-08-15 00:00:00,G,Design Project,React.js/Adobe/,DC,Yes,5-6,Strategy & Consulting
9091,2020-01-01 00:00:00,2020-08-15 00:00:00,D,IT Operations Project,ML/ML/Oracle/,NYC,Yes,10-11,Technology
9092,2020-01-01 00:00:00,2020-03-15 00:00:00,F,IT Operations Project,ML/Cloud/,Boston,Yes,2-3,Technology
9093,2020-06-01 00:00:00,2020-11-15 00:00:00,A,Legal Project,Bar/Bar/PowerPoint/,Chicago,No,7-8,Interactive
9094,2020-03-01 00:00:00,2020-06-15 00:00:00,C,IT Operations Project,Cloud/,DC,No,7-8,Technology
9095,2020-07-01 00:00:00,2020-10-15 00:00:00,H,Security Project,Python/,Chicago,Yes,4-5,Interactive
9096,2020-01-01 00:00:00,2020-10-15 00:00:00,F,Business Project,Salesforce/,Chicago,Yes,2-3,Operations
9097,2020-04-01 00:00:00,2020-07-15 00:00:00,G,Design Project,Excel/Adobe/,DC,No,1-2,Strategy & Consulting
9098,2020-06-01 00:00:00,2020-08-15 00:00:00,H,Finance Project,Excel/Excel/,Chicago,No,8-9,Strategy & Consulting
9099,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,Excel/Cloud/,DC,No,8-9,Strategy & Consulting
9100,2020-03-01 00:00:00,2020-05-15 00:00:00,H,Design Project,PhotoShop/React.js/PhotoShop/,Boston,Yes,4-5,Operations
9101,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Design Project,PowerPoint/,Boston,Yes,6-7,Technology
9102,2020-09-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,PowerPoint/Oracle/Excel/,Chicago,No,10-11,Operations
9103,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Legal Project,Oral communication/Excel/,NYC,Yes,2-3,Strategy & Consulting
9104,2020-07-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Oral communication/,DC,Yes,5-6,Strategy & Consulting
9105,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Strategy Project,Critical thinking/,DC,Yes,9-10,Operations
9106,2020-09-01 00:00:00,2020-12-15 00:00:00,F,Design Project,React.js/,Denver,Yes,5-6,Operations
9107,2020-03-01 00:00:00,2020-06-15 00:00:00,C,Engineering Project,Excel/Python/PowerPoint/,Boston,Yes,3-4,Strategy & Consulting
9108,2020-04-01 00:00:00,2020-04-15 00:00:00,B,Business Project,Excel/,Chicago,Yes,9-10,Technology
9109,2020-06-01 00:00:00,2020-06-15 00:00:00,D,Engineering Project,Excel/MATLAB/,Denver,No,9-10,Strategy & Consulting
9110,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Security Project,Excel/Cloud/,Denver,No,8-9,Technology
9111,2020-06-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,PowerPoint/Workday/Excel/,Boston,No,2-3,Interactive
9112,2020-09-01 00:00:00,2020-10-15 00:00:00,A,Design Project,PhotoShop/,Chicago,Yes,3-4,Technology
9113,2020-04-01 00:00:00,2020-10-15 00:00:00,D,Security Project,Oracle/PowerPoint/,NYC,No,1-2,Operations
9114,2020-10-01 00:00:00,2020-12-15 00:00:00,E,IT Operations Project,Java/,Boston,Yes,8-9,Operations
9115,2020-05-01 00:00:00,2020-08-15 00:00:00,H,Strategy Project,Excel/Critical thinking/,Denver,No,6-7,Operations
9116,2020-03-01 00:00:00,2020-06-15 00:00:00,F,Account Leadership Project,Oral communication/ML/,Denver,Yes,10-11,Interactive
9117,2020-01-01 00:00:00,2020-04-15 00:00:00,F,Legal Project,Bar/Bar/,Chicago,Yes,10-11,Strategy & Consulting
9118,2020-03-01 00:00:00,2020-09-15 00:00:00,F,Engineering Project,Python/MATLAB/Excel/,NYC,Yes,8-9,Technology
9119,2020-05-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,Oral communication/Excel/,Chicago,No,3-4,Strategy & Consulting
9120,2020-06-01 00:00:00,2020-06-15 00:00:00,B,Design Project,React.js/Excel/PowerPoint/,NYC,No,6-7,Operations
9121,2020-09-01 00:00:00,2020-09-15 00:00:00,E,IT Operations Project,Java/PowerPoint/PowerPoint/,DC,No,2-3,Technology
9122,2020-01-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,Excel/,Boston,No,9-10,Operations
9123,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Design Project,Excel/PowerPoint/,Boston,Yes,9-10,Operations
9124,2020-02-01 00:00:00,2020-02-15 00:00:00,C,Account Leadership Project,Oral communication/,Denver,Yes,4-5,Technology
9125,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Finance Project,PowerPoint/SAP/QuickBooks/,Denver,No,1-2,Technology
9126,2020-10-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,Excel/,NYC,Yes,2-3,Operations
9127,2020-06-01 00:00:00,2020-07-15 00:00:00,B,Account Leadership Project,Cloud/Excel/,DC,No,1-2,Interactive
9128,2020-02-01 00:00:00,2020-11-15 00:00:00,A,Security Project,Python/,DC,Yes,10-11,Interactive
9129,2020-02-01 00:00:00,2020-12-15 00:00:00,B,Finance Project,PowerPoint/,Denver,No,10-11,Technology
9130,2020-03-01 00:00:00,2020-08-15 00:00:00,G,Finance Project,SAP/PowerPoint/,Chicago,No,2-3,Technology
9131,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Strategy Project,Excel/Critical thinking/,Denver,No,8-9,Interactive
9132,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Finance Project,QuickBooks/Excel/Excel/,DC,No,10-11,Strategy & Consulting
